"간선도로 지점별(1)",2017,2018,2019,2020,2021
"진흥로(구기터널)",46352,46704,45876,43895,42541
"평창문화로(북악터널)",37215,45746,45747,42455,41546
"동호로(금호터널)",71586,68451,67523,63672,61491
"서빙고로(한남역)",95841,92374,90527,86945,86338
"천호대로(군자교)",89346,88166,87339,83631,81095
"뚝섬로(용비교)",73520,69442,68858,66376,65644
"동일로(군자교)",78989,69925,69677,67793,64612
"화랑로(상월곡역)",62267,70994,71331,69489,67567
"동소문로(길음교사거리)",61797,59831,60188,57141,55686
"화랑로(화랑대역)",82626,68491,69384,67887,67211
"도봉로(쌍문역)",53892,47962,46769,44897,43027
"동부간선도로(월계1교)",125333,120185,121732,117986,119920
"동일로(노원역)",44916,44400,42237,38770,37561
"증산로(디지털미디어시티역)",73585,72467,68277,66189,63470
"통일로(산골고개정류장)",66437,67131,67917,66820,65581
"성산로(연희IC)",83139,81827,81920,75286,73568
"연희로(연희IC)",38509,37407,37308,35047,34854
"남부순환도로(화곡로입구교차로)",86190,73750,74080,72757,72080
"남부순환로(신월IC)",115471,112480,112228,109885,107216
"강서로(화곡터널)",41244,39923,39662,38216,37711
"공항대로(발산역)",-,55298,53057,49224,50328
"경인로(오류IC)",53398,50370,51205,47896,46216
"경인로(거리공원입구교차로)",54732,54116,53049,51005,46190
"시흥대로(시흥IC)",88054,85063,83254,79212,78500
"영등포로(오목교)",60743,60525,60395,57983,55163
"시흥대로(구로디지털단지역)",83401,79366,77602,72929,70587
"국회대로(여의2교)",87205,66191,65726,58539,53722
"경인로(서울교)",95127,94691,94686,89962,90915
"여의대방로(여의교)",92782,90192,91513,85745,82385
"양녕로(상도터널)",70074,73391,73358,69640,67482
"동작대로(총신대)",114621,91084,89433,84243,82634
"문성로(난곡터널)",19627,18411,17197,16389,15411
"남부순환로(낙성대역)",108184,101960,99614,96252,90723
"남부순환로(예술의전당)",98425,96030,93399,88525,82399
"강남대로(강남역-신분당)",75243,58497,59020,55588,53898
"사평대로(고속터미널역)",97375,92933,91268,86362,83240
"반포대로(서초역)",107018,87362,87227,82973,81650
"언주로(매봉터널)",65521,64513,62718,59920,58894
"남부순환로(수서IC)",88638,100965,102715,97696,97512
"헌릉로(세곡동사거리)",66463,64100,64788,62667,63340
"노들로",-,64306,64810,59623,57855
"테헤란로(선릉역)",82727,75537,73987,68434,65162
"강남대로(신사역)",102260,76324,74310,69076,64676
"백제고분로(종합운동장)",40523,37884,38934,36845,36939
"송파대로(송파역)",-,79863,79854,75776,74952
"세곡교차로(밤고개길)",48307,-,-,-,-
"종합운동장(올림픽로)",53116,-,-,-,-
"올림픽로(송파구청~잠실역)",56067,-,-,-,-
"올림픽로(몽촌토성역~올림픽회관)",57360,-,-,-,-
"송파대로(석촌호수(롯데월드)~석촌호수)",77828,-,-,-,-
"잠실로(석촌호수(롯데월드)~KT송파지사)",28499,-,-,-,-
"석촌호수로(신천역~잠실학원사거리)",35981,-,-,-,-
"석촌호수로(방이삼거리→석촌호수)",19596,-,-,-